Rasse;GebJahrUnten;GebJahrOben;Code;Selektionspfad
TX;1900;2100;187;DC
TX;1900;2100;187;DB
VP;1900;2100;187;DC
VP;1900;2100;187;DB
VS;1900;2100;187;DC
VS;1900;2100;187;DB
WA;1900;2100;187;DC
WA;1900;2100;187;DB
WB;1900;2100;187;DC
WB;1900;2100;187;DB
ZE;1900;2100;187;DC
ZE;1900;2100;187;DB
95;1900;2100;188;SC
95;1900;2100;188;SB
AB;1900;2100;188;SC
AB;1900;2100;188;SB
AU;1900;2100;188;SC
AU;1900;2100;188;SB
AY;1900;2100;188;SC
AY;1900;2100;188;SB
BB;1900;2100;188;SC
BB;1900;2100;188;SB
BD;1900;2100;188;SC
BD;1900;2100;188;SB
BF;1900;2100;188;SC
BF;1900;2100;188;SB
BS;1900;2100;188;SC
BS;1900;2100;188;SB
BZ;1900;2100;188;SC
BZ;1900;2100;188;SB
CH;1900;2100;188;SC
CH;1900;2100;188;SB
DA;1900;2100;188;SC
DA;1900;2100;188;SB
DR;1900;2100;188;SC
DR;1900;2100;188;SB
EV;1900;2100;188;SC
EV;1900;2100;188;SB
GA;1900;2100;188;SC
GA;1900;2100;188;SB
GC;1900;2100;188;SC
GC;1900;2100;188;SB
GU;1900;2100;188;SC
GU;1900;2100;188;SB
GV;1900;2100;188;SC
GV;1900;2100;188;SB
HH;1900;2100;188;SC
HH;1900;2100;188;SB
HI;1900;2100;188;SC
HI;1900;2100;188;SB
HR;1900;2100;188;SC
HR;1900;2100;188;SB
HW;1900;2100;188;SC
HW;1900;2100;188;SB
KC;1900;2100;188;SC
KC;1900;2100;188;SB
LG;1900;2100;188;SC
LG;1900;2100;188;SB
MA;1900;2100;188;SC
MA;1900;2100;188;SB
MR;1900;2100;188;SC
MR;1900;2100;188;SB
MW;1900;2100;188;SC
MW;1900;2100;188;SB
NO;1900;2100;188;SC
NO;1900;2100;188;SB
NR;1900;2100;188;SC
NR;1900;2100;188;SB
PA;1900;2100;188;SC
PA;1900;2100;188;SB
PI;1900;2100;188;SC
PI;1900;2100;188;SB
PS;1900;2100;188;SC
PS;1900;2100;188;SB
PZ;1900;2100;188;SC
PZ;1900;2100;188;SB
RD;1900;2100;188;SC
RD;1900;2100;188;SB
RE;1900;2100;188;SC
RE;1900;2100;188;SB
RH;1900;2100;188;SC
RH;1900;2100;188;SB
SH;1900;2100;188;SC
SH;1900;2100;188;SB
SL;1900;2100;188;SC
SL;1900;2100;188;SB
SR;1900;2100;188;SC
SR;1900;2100;188;SB
TA;1900;2100;188;SC
TA;1900;2100;188;SB
TL;1900;2100;188;SC
TL;1900;2100;188;SB
TX;1900;2100;188;SC
TX;1900;2100;188;SB
VP;1900;2100;188;SC
VP;1900;2100;188;SB
VS;1900;2100;188;SC
VS;1900;2100;188;SB
WA;1900;2100;188;SC
WA;1900;2100;188;SB
WB;1900;2100;188;SC
WB;1900;2100;188;SB
ZE;1900;2100;188;SC
ZE;1900;2100;188;SB
